language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
cams1241,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,S,-,-,-,e,-,-,-,-,-
paez1247,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,i,-,-,-,h,-
paez1247,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,i,-,-,-,S,a
embe1260,-,-,t,-,-,-,S,-,-,-,-,-,-,-,h,-,i,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
nort2972,-,-,t,-,-,-,S,-,-,-,-,-,-,-,h,-,i,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
epen1239,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
epen1239,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
epen1239,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
embe1261,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
embe1262,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
woun1238,-,-,t,-,-,-,S,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,b,-,-,-,3,-,-,-,-,-
yukp1241,-,-,w,-,e,-,S,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-
cari1279,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,s,-,u,m,u,-,-,-,-,-
