language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
maly1234,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,l,t,i,-,-,-,-,-,-,p,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
nhan1238,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,w,-,-,-,L,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
waja1257,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kurr1243,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yind1247,m,u,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
pany1241,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
ngar1287,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
bayu1240,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dhal1245,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
djiw1241,m,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,g,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
wari1262,m,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,g,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
dhar1247,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nort2754,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,5,-,-,u
nyan1301,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kara1476,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,i
kara1476,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,y,-,-,i
ngar1296,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nyam1271,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,5,-,-,u
mang1383,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,l,p,u,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kart1247,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mart1256,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yulp1238,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wanm1242,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kuka1246,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,N,-,a,r,i,g,o,n,-,-,-,-,-,a,-,-,-,-,-,-,-
ngaa1240,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
pint1251,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,r,-,-,i
pitj1243,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
pint1250,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
ngad1258,-,-,-,t,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,a,d,-,-,T,-,-,i
kala1379,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-,u
jaru1254,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,5,-,-,-,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
nort2753,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,r,-,-,u
ngar1235,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,5,-,-,-,-,T,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
guri1247,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,T,i,-,-,k,a,r,-,-,-,-,-,i,-,-,-,5,a,n,a
mudb1240,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
warl1254,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,r,-,-,u
waru1265,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nyun1247,-,-,-,d,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-
waju1234,-,-,-,w,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-
ward1248,m,-,-,u,-,-,-,-,d,-,-,-,-,-,i,-,-,-,-,-,-,d,-,-,-,-,T,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dhuw1249,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
djam1256,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
djap1238,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
guma1253,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dhuw1248,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
gupa1247,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dayi1244,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
rita1239,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yann1237,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
djin1253,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
wadi1249,-,-,-,p,u,-,-,-,r,-,-,-,-,-,i,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wath1238,-,-,-,m,u,-,-,-,r,-,-,-,-,-,u,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
woiw1238,-,-,-,m,u,-,-,-,r,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bung1264,-,-,-,y,u,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yort1237,-,-,-,d,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yabu1234,-,-,-,d,o,-,-,-,r,-,-,o,-,-,a,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhud1236,-,-,-,m,u,-,-,-,r,b,-,u,w,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wang1291,-,-,-,m,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wira1262,-,-,-,m,u,-,-,-,r,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gami1243,-,-,-,m,u,-,-,-,r,-,-,-,-,-,u,-,-,-,-,-,-,n,-,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
gami1243,-,-,-,m,u,-,-,-,r,-,-,-,-,-,u,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yuwa1242,-,-,-,m,u,-,-,-,r,-,-,-,-,-,u,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kumb1268,-,-,-,g,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
