language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
yort1237,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,N,-
wang1291,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,t,-,-,i,-,-,-,-,-
wira1262,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,r,-,-,a,-,-,-,N,-
gami1243,d,i,g,i,r,-,-,-,-,a,-,-,-,-,-,g,u,w,u,-,l,-,-,a,-,-,-,i,-
gami1243,d,i,g,i,r,-,-,-,-,a,-,-,-,-,-,g,u,w,u,-,l,-,-,a,-,-,-,i,-
yuwa1242,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,y,-
band1358,-,-,-,-,T,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,d,-,-,i,-,-,-,-,-
yuga1244,-,-,-,-,T,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,d,-,-,i,-,-,-,-,-
minj1242,-,-,-,-,T,-,-,-,-,i,-,-,-,-,-,n,-,-,-,-,d,-,-,e,-,-,-,-,-
duun1241,-,-,-,-,w,-,-,-,-,u,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-
awab1243,-,-,-,-,g,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,d,-,-,a,-,-,-,-,-
gath1234,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,d,-,-,a,-,-,-,-,-
sydn1236,-,-,-,-,N,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-
nort2760,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,d,-,y,a,n,N,-,u,-
thur1254,-,-,-,-,N,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,r,-,-,a,n,-,-,u,N
dhur1239,-,-,-,-,d,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,g,-,-,a,n,-,-,-,-
narr1259,n,-,-,a,w,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,d,-,-,a,-,-,-,-,-
alya1239,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,t,-,-,a,L,k,-,w,-
