language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56
dyir1250,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-
warr1255,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-,-,u,-,-,m,-,b,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuku1280,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,N,-,-,p,a,-,-,-
wikm1247,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,p,a,-,-,N
umpi1239,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuuk1238,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,a,-,-,-
gurd1238,-,-,m,-,-,-,p,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,n,-,k,-,-,-,u,r,-,-,p,-,-,-,i,n,-,k,-,-,-,u,r,-,-,p,a,-,-,-
pint1251,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,n,-,k,-,-,-,u,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,r,-,-,-,a,-,-,-
pitj1243,-,-,-,-,-,-,w,-,a,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,t,T,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,N,-,-,-,a,n,-,i
kuka1246,-,-,-,-,-,-,k,-,u,-,t,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,m,-,-,-,-,-,-,-,-,-,-,a,r,-,-,-,a,-,-,-
nyam1271,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,k,a,-,-,-
mart1256,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,k,u,-,-,n,-,-,-,-,-,i,r,-,-,-,-,-,-,i,-,-,-,-,-,-,-,N,-,-,-,u,-,-,-
wanm1242,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,a,-,-,5,-,k,-,-,-,a,t,-,-,-,-,-,-,i,-,-,-,-,-,-,-,T,-,-,-,u,-,-,-
kara1476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,i,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-
kara1476,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-,r,p,y,i,-,-,n,-,t,-,-,-,a,n,p,a,w,-,-,-,a,-,-,-,-,-,-,-,r,a,5,k,a,t,-,i
waja1257,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,r,u,g,u,n,m,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,a,-,-,-
bayu1240,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,n,-,-,-,-,-,i,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,n,m,a
dhal1245,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,n,-,-,-,-,-,i,T,-,-,-,-,-,-,i,-,-,-,-,-,-,-,r,-,-,-,i,n,-,-
dhar1247,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,n,-,-,-,-,-,i,T,-,-,-,-,-,-,i,-,-,-,-,-,-,-,r,-,-,-,u,-,-,-
pany1241,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,n,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,i,-,-,-
ngar1287,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,g,-,-,-,a,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,i,-,-,-
yind1247,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,n,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,i,-,-,-
nyun1247,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,o,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,T,-,-,-,-,-,-,i,-,-,-,-,-,-,e,n,-,-,-,a,n,-,-
warl1255,k,i,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,T,k,i,p,i,r,i,T,w,-,-,a,n,-,-,t,a,-,-,-
warl1254,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,-,-,-,u,l,-,-,y,k,i,-,-,-,-,T,-,-,-,i,n,-,-,-,i,-,-,-
waru1265,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,l,-,-,y,-,-,-,i,r,-,k,-,-,-,u,n,-,-,t,a,-,-,-
guri1247,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,N,a,n,y,-,-,-,u,-,-,-,w,a,n,a,n,-,-,-,a,-,-,-
ngar1235,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,g,-,-,y,-,-,-,-,-,-,-,-,-,-,a,n,-,-,-,-,-,-,-
mudb1240,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,m,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
jaru1254,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,r,-,-,-,-,-,-,-,-,-,-,-,-,n,i,n,-,-,-,a,-,-,-
adny1235,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,y,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,a,-,p,a,-,-,-
dier1241,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,i,-,-,-
yand1253,w,a,p,a,w,a,g,-,-,-,-,-,-,-,-,-,-,a,-,-,w,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,a,-,-,-
dhuw1249,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
djam1256,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gupa1247,-,-,-,-,-,-,N,-,a,5,d,T,a,L,a,7,y,u,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guma1253,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhan1270,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dayi1244,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,u,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
rita1239,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,r,i,7,y,-,-,-,u,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
yann1237,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,u,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
djin1253,-,-,-,-,-,-,L,-,-,-,-,-,-,-,-,-,-,i,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
waga1260,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-
warl1256,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,x,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,i,-,-,-
yany1243,5,a,m,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,y,a,N,a,m,a,n,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,a,-,-,-
kala1377,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,i,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,i
alya1239,-,a,-,-,-,-,k,N,a,-,t,-,-,-,-,-,-,e,-,-,l,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,y,-,-,-,e,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-
