language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
kara1476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,T,a,r,-,-,a,-,-,-,w,-,a,-,r,-,-,a,-,-,-,-,5,-
nhan1238,-,-,-,-,-,-,m,-,-,a,n,-,-,-,-,-,-,-,N,-,-,u,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
waja1257,-,-,-,-,-,-,m,-,-,a,n,-,-,-,-,-,-,-,g,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bayu1240,-,-,-,-,-,-,T,-,-,a,r,-,-,-,-,-,-,-,g,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhal1245,-,-,-,-,-,-,T,-,-,a,r,-,-,-,-,-,-,-,g,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhar1247,-,-,-,-,-,-,T,-,-,a,r,-,-,-,-,-,-,-,g,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kurr1243,-,-,-,-,-,-,T,-,-,a,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
pany1241,-,-,-,-,-,-,T,-,-,a,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
ngar1287,-,-,-,-,-,-,b,-,-,u,r,-,-,-,-,-,-,-,g,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yind1247,-,-,-,-,-,-,T,-,-,a,r,-,-,-,-,-,-,-,-,-,-,u,-,w,i,d,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
nyun1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,N,-
warl1255,-,-,-,-,-,-,T,-,-,i,r,i,m,a,-,-,-,-,T,-,-,i,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,t,a,-,-,-,-,-,-
warl1254,-,-,-,-,-,-,T,-,-,i,r,a,m,a,k,a,r,i,T,-,-,i,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,t,a,-,-,-,-,-,-
waru1265,-,k,-,-,u,-,T,-,-,a,r,-,-,a,-,-,-,-,y,-,-,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,t,i,-,-,-,-,-,-
guri1247,-,-,-,-,-,-,m,-,-,u,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngar1235,-,-,-,-,-,-,m,-,-,u,r,-,-,-,-,-,-,-,g,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mudb1240,-,-,-,-,-,-,m,-,-,u,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
jaru1254,-,-,-,-,-,-,m,-,-,o,-,-,-,-,-,-,-,-,g,-,-,o,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
adny1235,-,-,-,-,u,L,p,-,-,a,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
naru1238,-,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,-,-,w,i
dier1241,-,-,-,-,-,-,p,-,-,a,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
yand1253,-,-,-,-,-,-,p,-,-,a,r,-,-,-,k,-,-,u,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
dhuw1249,-,-,-,-,-,-,L,-,-,u,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-
djam1256,-,-,-,-,-,-,L,-,-,u,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-
gupa1247,-,-,-,-,-,-,L,-,-,u,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-
dhan1270,-,-,-,-,-,-,L,-,-,u,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-
dayi1244,-,-,-,-,-,-,L,-,-,u,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-
rita1239,-,-,-,-,-,-,L,-,-,u,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yann1237,-,-,-,-,-,-,L,-,-,u,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
djin1253,-,-,-,-,-,-,L,-,-,u,r,-,-,-,-,-,-,-,k,-,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
waga1260,-,-,-,-,-,-,y,-,-,a,-,-,-,-,-,-,-,-,w,-,-,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
warl1256,-,k,-,-,u,-,T,a,y,a,r,-,-,-,-,-,-,-,x,-,-,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
kala1377,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,k,a,m,o,-,-,-,d,-,-,-,-,o,-,b,-,i,-,l,-,g,a,-,-,-,-,l,-
alya1239,-,-,-,-,-,-,-,-,-,i,r,-,p,e,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
west2441,-,-,-,-,-,-,t,-,-,e,r,a,m,e,-,-,-,-,5,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,t,e,-,-,-,-,-,-
