language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
nyan1301,-,-,r,-,-,-,-,-,-,a,-,-,m,-,-,-,i,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kara1476,-,o,w,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nyam1271,-,-,5,-,-,-,-,-,-,i,-,-,m,-,i,l,i,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
mang1383,-,-,t,-,-,-,-,-,-,i,-,-,p,-,-,-,i,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
djuw1238,-,-,t,-,-,-,-,-,-,i,-,-,p,-,-,-,i,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kart1247,-,-,5,-,-,-,-,-,-,i,-,-,m,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,p,a,-,-,-,-,-,-,-,-,-
mart1256,-,-,5,-,-,-,-,-,-,i,-,-,m,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
yulp1238,-,-,t,-,-,-,-,-,-,i,-,-,p,-,-,-,i,-,-,-,-,5,-,-,-,-,-,-,p,a,-,-,-,-,-,-,-,-,-
wanm1242,-,-,N,-,-,-,-,-,-,i,L,-,p,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kuka1246,m,a,N,-,-,-,-,-,-,a,-,-,m,-,-,-,a,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
ngaa1240,-,-,k,-,-,-,-,-,-,a,-,-,n,-,-,t,i,-,-,-,-,l,-,-,-,-,-,y,p,a,-,-,-,-,-,-,-,-,-
pint1251,-,-,5,-,-,-,-,-,-,i,-,-,m,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
pint1250,-,-,5,-,-,-,-,-,-,i,-,-,m,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
ngad1258,-,-,p,-,-,-,-,-,-,a,-,-,n,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jaru1254,-,-,b,-,-,-,-,-,-,i,-,-,n,-,-,d,i,-,-,-,-,y,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
ngar1235,-,-,T,-,-,-,-,-,-,a,-,-,5,-,-,b,u,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
guri1247,-,-,p,-,-,-,-,-,-,i,-,-,n,-,-,t,i,-,-,-,-,y,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
mudb1240,-,-,T,-,-,-,-,-,-,a,-,-,5,-,-,b,u,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
warl1255,-,-,T,-,-,-,-,-,-,a,-,-,5,-,-,p,u,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
warl1254,-,-,p,-,-,-,-,-,-,a,-,-,n,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
waru1265,-,-,l,-,-,-,-,-,-,u,-,-,n,-,-,k,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
walm1241,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,p,i,-,-,-,-,n,-,-,-,-
nyun1247,-,-,N,-,-,-,-,-,-,u,-,-,r,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ward1248,-,-,N,-,-,-,-,-,-,a,-,-,b,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhuw1249,-,-,T,-,-,-,-,-,-,a,-,-,m,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
djam1256,-,-,T,-,-,-,-,-,-,a,-,-,m,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
djap1238,-,-,b,-,-,-,-,-,-,i,-,-,n,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
guma1253,d,-,T,-,-,-,-,-,-,a,-,-,m,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gupa1247,-,-,T,-,-,-,-,-,-,a,-,-,m,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhan1270,d,-,T,-,-,-,-,-,-,a,-,-,m,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
rita1239,m,i,d,-,-,-,-,-,-,i,-,-,m,-,-,-,i,-,-,-,-,d,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
