language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
djuw1238,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,l,-,-,a,-,T,-,-,-,-,-,-,i,-,-,-,-,-,-,-
kart1247,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mart1256,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,a,-,-,-,-,n,u,-
yulp1238,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,T,a,-,-,-,l,-,a,-,-,-,-,-,-,-
wanm1242,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,n,-,-,i,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kuka1246,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,-,-,-
ngaa1240,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,t,-,T,-,-,-,a,-,l,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-
pitj1243,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-
pint1250,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,t,-,T,-,-,-,a,-,n,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
kala1379,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,u,-,-,-,-,-,-,-
jaru1254,-,-,-,-,y,-,-,a,-,r,u,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,n,-,-,a,N,g,-,-,-,-,-,-,u,-,-,-,-,-,-,-
ngar1235,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
bili1250,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
guri1247,-,-,-,-,T,-,-,a,-,r,a,k,a,p,m,a,n,a,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mudb1240,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
maln1239,-,-,-,-,T,-,-,i,-,r,a,k,-,-,N,a,n,a,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
warl1255,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-
warl1254,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,m,i,-
waru1265,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,n,-,-
nyun1247,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,i,-,-,-,-,5,-,-
dhuw1249,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
djam1256,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,u,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
djap1238,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dhuw1248,-,-,-,-,N,-,-,a,-,y,-,-,-,-,-,-,-,a,w,u,r,-,k,t,u,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gupa1247,-,-,-,-,N,-,-,a,-,y,-,-,-,-,-,-,-,a,w,u,r,-,k,t,u,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhan1270,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dayi1244,-,-,-,-,N,-,-,a,-,y,-,-,-,-,-,-,-,a,-,-,r,u,k,-,u,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
