language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
czec1258,-,-,-,-,b,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,s,y,e,-,-,-,T,-,-,i,-,-,-,-,-,-
czec1258,-,-,z,-,v,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,s,-,E,-,-,-,t,-,-,-,-,-,-,-,-,-
slov1269,-,-,-,-,v,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,s,-,o,-,-,-,T,-,-,-,-,-,-,-,-,-
poli1260,-,-,r,-,y,-,i,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-
poli1260,-,-,z,-,v,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,s,-,o,-,-,-,t,-,-,S,-,-,-,-,-,-
ukra1253,-,-,-,-,b,-,-,-,l,y,-,-,u,b,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
rusy1239,-,-,-,-,b,-,-,-,l,y,-,-,u,v,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
bela1254,-,-,-,-,v,-,o,-,n,y,i,t,o,v,-,-,-,-,o,-,-,-,-,-,-,-,t,-,s,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-
russ1263,-,-,-,-,-,-,-,-,r,-,-,-,-,v,-,-,-,-,o,-,-,-,-,-,-,-,t,-,s,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-
bulg1262,-,-,-,-,p,-,u,v,r,-,-,-,-,-,-,-,-,-,o,-,-,-,S,-,-,-,t,-,-,-,-,-,-,-,-,-,-,3,-,-,-,m,-,-
mace1250,-,-,-,-,b,-,3,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,-
mace1250,-,-,-,-,b,-,-,-,l,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,-
mace1250,-,-,-,-,p,-,o,v,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
pola1255,-,-,-,-,b,-,-,-,L,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
latv1249,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,m,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east2282,-,-,-,-,v,-,-,-,y,-,-,-,-,-,-,-,-,-,E,-,-,-,m,-,y,-,t,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-
lith1251,-,-,-,-,v,-,-,-,y,-,-,-,-,-,-,-,-,-,E,-,-,-,m,-,y,-,t,-,-,-,-,-,-,-,y,-,-,i,-,-,-,-,-,-
nort2668,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
midd1359,-,-,-,-,x,-,-,-,-,-,-,-,-,w,-,-,-,-,e,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,a,-,-,-,v,-,-
treg1244,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
treg1244,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,i,s,l,o,N,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
