language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
cent2264,-,-,-,-,-,y,-,-,a,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
pahl1241,-,-,-,-,-,s,-,-,a,-,-,-,r,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-
part1239,-,-,-,-,-,s,-,-,a,-,-,-,r,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-
kumz1235,-,-,-,-,-,s,-,-,a,-,-,-,r,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-
khot1251,-,-,-,-,-,s,-,-,o,-,-,-,r,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
yusu1238,-,-,-,-,-,y,-,-,a,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nort2641,-,-,-,-,-,s,-,-,o,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sogd1245,-,-,-,-,-,s,-,-,a,-,-,-,r,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-
iron1242,w,o,-,-,-,Z,-,-,o,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
digo1242,w,o,-,-,-,z,-,-,o,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ashr1238,-,-,-,-,-,S,-,-,i,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,l,u
kala1373,-,-,-,-,-,S,-,-,i,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,3,l,-
gawa1247,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,l,3
khow1242,-,-,u,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,k,-
nort2665,-,-,-,-,-,S,-,-,3,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,o,l,-
hind1269,-,-,t,-,-,h,-,-,3,-,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-
urdu1245,-,-,t,-,-,h,-,-,3,-,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-
bhoj1244,-,-,t,-,-,h,-,-,3,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-
maga1260,-,-,t,-,-,h,-,-,3,-,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-
mait1250,-,-,t,-,-,h,-,-,3,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-
east1436,-,-,t,-,-,S,-,-,i,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,o,-,-
mara1378,-,-,t,-,-,h,-,-,a,-,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,i,-,-
beng1280,-,-,t,-,-,h,-,-,a,-,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-
assa1263,-,-,t,-,-,h,-,-,o,-,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-
vedi1234,-,-,-,-,-,S,-,-,i,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-
pali1273,-,-,-,-,-,s,-,-,i,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-
kash1277,-,-,t,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-
kamv1242,i,i,t,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east2308,y,u,t,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
west2372,y,u,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
chim1297,y,o,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ashk1246,-,a,t,-,-,S,-,-,3,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,3,-,-
lowe1390,i,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
homs1234,-,-,t,s,-,h,-,-,u,-,-,-,r,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-
nucl1235,-,-,t,s,-,h,-,-,u,-,-,-,r,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-
clas1249,-,-,t,s,-,h,-,-,u,-,-,-,r,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-
