language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
vedi1234,-,k,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pali1273,-,k,-,-,-,a,-,-,r,-,-,-,-,o,-,-,-,-,t,-,-,i,-,-
kash1277,-,k,-,-,-,o,-,-,r,-,-,-,-,o,-,-,-,-,n,-,-,-,-,-
kamv1242,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
east2308,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
west2372,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
chim1297,-,t,-,-,-,-,-,-,s,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
ashk1246,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
lowe1390,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
homs1234,-,-,-,-,-,3,-,-,-,-,-,-,n,E,-,-,-,-,l,-,-,-,-,-
nucl1235,-,-,-,-,-,o,-,-,-,-,-,-,n,E,-,-,-,-,l,-,-,-,-,-
clas1249,-,-,-,-,-,o,-,-,r,-,-,-,n,E,-,-,-,-,m,-,-,-,-,-
