,!,3,4,5,7,8,C,E,G,L,N,S,T,X,Z,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
N,-1.8058795898224718,-5.417884728434978,-0.2263401245447474,0.7092802739022064,-1.2112892238050588,-1.1516606628164743,-4.11850377029823,-4.910301178346043,-0.060112144843885496,-1.4078736926794049,3.6686949261297856,-4.1409970208722315,-2.988808871644178,-2.8416125491365625,-1.1429139687692098,-6.437617620628788,-4.835889846620655,-3.8912852768507804,-3.1344392272137442,-5.2633965781051595,-4.037170296625797,-1.437458695856602,-2.81080300137016,-3.5609873738087447,-1.7826427822252349,-1.837766133845638,-1.3532197175838991,-1.2965798105740491,0.962903434498283,-4.918398955133974,-5.060650926410472,-1.4397684132789257,-2.6146806805886866,-5.421494958172876,-4.347369585607525,-3.2918955023692194,-2.1516309863973238,-4.988013251209838,-1.4383138590892415,-3.566124856938198,-3.4991212142491497
S,-0.8598725830992331,-4.361876826497409,0.5414186507721732,-2.957805980199974,-3.487787810000598,0.32122735842605277,0.712069395620115,-4.142542403029123,0.59213374335119,0.4995444811984582,-4.1409970208722315,4.587936338842089,0.16692287517951243,-1.7257065056179277,1.1129170350820816,-6.310638040354497,-4.254996652482013,0.4597578878417785,-4.080275148275542,-5.125847598452858,-2.1658227225084854,-3.8726769376086034,-1.0026989942589113,-5.876567310046757,0.5617603872044672,-3.0672853419975405,-3.922239320094378,-4.962519974117927,-5.311269297571948,-5.497412519032253,-4.114643919687233,-1.9850997775545318,-4.273896930464924,2.318288217979542,-4.1162025840554906,-5.537112789183673,-2.775056557494487,-4.478723896098868,0.324850386519147,-2.975668566941411,1.2825035344964375
T,0.4705637975351378,-3.445789236914435,1.6392327361377914,-1.1796427105995368,-2.5502034505386204,0.8085214840023047,1.5222218019224156,-3.0688258692425654,1.6658502771377472,-1.0657963146302434,-2.988808871644177,0.16692287517951243,3.191859305009613,-0.8596293366096139,1.1396456456058361,-5.236921506567939,-3.1812801186954554,1.2714293910023429,-0.776732875777367,-4.09759343874306,-1.4071872353618229,-2.2225374975702428,-2.651560762137474,-4.780377920408141,1.9576417715225265,-1.375622854532648,-3.4438141768640085,-3.7232890018537956,-4.322710572125696,-4.447793536824757,-3.1226054169149426,-1.4966414623167354,-3.0839205905625056,-0.2434138372908592,-0.22907533350889775,-4.509916271032007,-1.70134002370793,-3.314035584106583,-1.7160776945018217,-1.7904307587224464,1.7813030324205164
X,0.3423481401827857,-2.9533196702175637,1.743639374054192,-1.7331124010658954,-0.17480307390970307,-0.20548080872756813,-1.909651418476539,-2.892693630757849,2.955979723130053,-1.1555456911547992,-2.8416125491365634,-1.7257065056179277,-0.8596293366096139,5.023460117036356,0.038697945474376994,-4.93016908566616,-3.3691132574121507,-1.6512499975924007,0.12901682744098508,-3.946099731022901,-1.7813119024281745,-0.7197151380016065,0.44234220843152094,-4.154471127478828,-0.6283163867990558,-0.38526956516625077,-2.2110638809821808,-3.934652637980685,-4.1942063826302345,-4.295191795750235,-3.1065792108461707,3.6273843834649337,-0.5924936714787936,-2.6347784601455366,-3.8889801934744046,-4.4055096331156065,-1.4616101991022434,-2.780066286502958,3.0310648980325974,-2.350061207963387,-0.5011772429924068
Z,0.9362805663076514,-2.60828329150932,2.3375718001790577,1.3382916963594518,-1.5400847624665133,1.8031839138377208,0.5605978649044463,-2.2757716864082855,2.4123844443371354,2.1909593925033786,-1.1429139687692098,1.1129170350820816,1.1396456456058361,0.038697945474376994,5.365569410886932,-4.4213944678815995,-2.458843503075128,1.2865104800605591,0.18605684420909974,-3.4227848721119862,-1.3656277077096277,0.3768163956184454,-1.0526396650434116,-3.028321887606655,3.2630760188174657,-3.3281008784184323,-0.5943572425807089,-3.2282422284291297,-3.063131024422006,-3.7253569212044297,-2.4001688012946154,-0.8448224139103608,-0.8848808337181531,-0.2397668328438156,-2.7387597695067907,-3.8115772069907408,-0.6202695996635361,-2.5700927632652935,-1.0821944762229387,-0.13872269975524354,3.6075400157907307
a,-3.7972723778984196,-0.42067126982333836,-2.3959811440270133,-5.965823342213113,-5.11931481099047,-4.4677036489011055,-6.267525502577762,-0.4386645095013204,-2.3452660514479966,-5.295166209236005,-6.437617620628789,-6.3106380403544975,-5.236921506567939,-4.93016908566616,-4.4213944678815995,2.0408580153325744,-7.485744257268658,-6.072721667814594,-7.276536576991019,-1.090641141950293,-6.099180651915699,-6.827171165767091,-6.975051775765371,-2.5425061948309686,-5.790563286570449,-8.107116196701261,-7.7482783154372115,-8.050742658651696,-8.09743812264721,-0.770834456566444,-7.222669231517182,-5.379924419392594,-7.253260924363143,-7.5494632812545746,-7.939653225539114,-3.051968341519048,-5.930709918313691,-7.39259319348786,-6.091159400288976,-7.3571822937493145,-5.854479379526509
b,-0.5410537747011381,-5.694611987615156,-0.7043051333559407,-3.828836314886677,-2.149171047352525,-2.8204794008008682,-4.246370290776447,-5.388266187157237,-0.653590040776924,-3.555862149575677,-4.835889846620654,-4.254996652482012,-3.181280118695455,-3.3691132574121503,-2.4588435030751277,-7.485744257268658,3.8986856482805528,-4.0151113877919915,-4.143303526525006,-6.464661805646985,0.839904465894628,-3.001532774537765,-0.5539251785958696,-7.0778393316040376,-2.892478416775559,-3.228703233108783,-3.8197685893348727,-1.2448398438552233,-5.330819567393933,-6.767233854739429,0.29053783581524595,-3.592938228917196,-5.9182598576308045,-5.164640090023559,-5.878617111401994,-6.716878605519989,2.66539878448534,0.8311462626693014,-3.2688683698636205,-1.6363353642760976,-2.9491217504025395
c,-0.6695842595485848,-4.305119895571283,0.7558045259018824,-2.182259438100565,-3.0707261670851613,1.7480580933132428,2.047548421612828,-3.9046260304892195,0.7824220669018382,-1.0688658022180606,-3.8912852768507795,0.4597578878417785,1.2714293910023429,-1.6512499975924007,1.2865104800605591,-6.072721667814593,-4.015111387791992,4.334012594402411,-0.603288403517932,-5.004552146389162,-1.366944606425955,-3.0685781757345323,-2.7769222457141227,-5.6862789864961085,1.3698534273065182,-2.9028977468790496,-1.8437491651090632,-4.695270609431149,-5.005468086899454,-5.331221747060666,-4.04951873909059,-2.403059190777342,-1.6932133692724518,0.5719703306641648,-0.43768113567818023,-5.417442032846977,-2.097753258871567,-3.7634253137902727,-2.7257996300620224,-1.7327530679644765,2.683765347276135
d,-1.8487606379604529,-5.556021874551467,-0.2768438870582841,-3.0078270935030442,-3.300528482228958,0.9070350692858362,-0.7144010411238852,-5.154960955300536,-0.4443823604992847,-1.7233595222025109,-3.1344392272137442,-4.080275148275542,-0.776732875777367,0.12901682744098508,0.18605684420909974,-7.276536576991019,-4.143303526525006,-0.603288403517932,3.4412171969456775,-6.2313565737902845,-3.6633737856219346,-1.6394307846216352,-3.651059750574051,-6.936072932121929,1.6393622702004338,-5.222500493082862,1.1539130920266496,-5.721404341370121,-3.741323550056615,-6.558026174461789,-4.878293036871067,-3.365712043136879,0.531581641689336,-1.498884933000597,0.23691364737910758,-6.6442464602481,-3.1686873155659034,-4.9354215046964,-2.4701257724903334,-2.4095111584463282,0.9409624311262341
e,-2.7055723590627947,-0.4607745497410285,-1.3042811251913884,-4.803505756163536,-5.3518367246323555,-3.333444015646685,-5.175825483742137,0.8370854367478433,-1.2535660326123717,-4.179368638821319,-5.263396578105158,-5.12584759845286,-4.0975934387430595,-3.9460997310229002,-3.422784872111987,-1.090641141950293,-6.464661805646986,-5.004552146389162,-6.231356573790285,2.54962991547803,-5.007480633080074,-6.058244539194518,-5.883351756929746,-0.2571583164184492,-4.674765716155763,-6.905415282651307,-6.1503084893714535,-6.389509415223302,-6.348309005853719,-1.6352903708645146,-6.178597261670812,-4.486675339280807,-6.672386529293509,-6.128284061288709,-6.847953206703489,-2.81657222552736,-4.723940569693278,-6.233451893856702,-4.951831332464098,-4.985872056382134,-4.692161793476932
f,-0.6484151946604344,-4.283950830683133,0.7528760392109719,-2.7463485917611754,-3.140528880402738,-0.9886047787925447,-2.247272907373513,-3.931085014590324,0.8035911317899886,-2.0986809770087644,-4.0371702966257965,-2.1658227225084854,-1.4071872353618229,-1.7813119024281745,-1.3656277077096268,-6.099180651915698,0.8399044658946275,-1.366944606425955,-3.6633737856219346,-5.007480633080072,5.322845035917914,0.9718625348667729,1.0041171474375892,-5.7357274888219125,-1.6731469429125525,0.059328799947860666,-4.622410650423924,-2.946057889701051,-4.801977465217349,-5.310052682172516,1.3590971948930064,-2.4295181748784467,-4.382607069622396,-0.7376700383946773,-1.895707294526825,-5.396272967958827,2.1760333486476533,-0.6660479921045583,-1.9196758353608043,-3.697499486745339,-1.7278463807636877
g,-1.6301862292879266,-5.3829098399556985,-0.3219854184825328,-3.3858919781968337,-1.869320133162459,-1.6897498266924655,-2.7366178486994377,-4.981848920704768,2.1354550263431262,-2.3497750717252606,-1.437458695856602,-3.8726769376086043,-2.2225374975702437,-0.7197151380016065,0.3768163956184454,-6.8271711657670915,-3.0015327745377656,-3.0685781757345314,-1.6394307846216352,-6.058244539194516,0.9718625348667729,2.8859442450627553,-2.6927816366980855,-6.739971379301463,0.034370206906251255,-0.042004822115953466,-1.7496126227638165,-5.610812663755687,-5.0492138281223555,-6.360816588286959,-4.849430611119845,-0.30322080655769756,-0.9735070492256588,-4.871551508878093,-5.745513188152571,-6.252880859632314,-0.6565489088138339,-2.3298663898483722,0.007752381045840195,-1.8056162077581055,-0.12445500015992739
h,-1.9050588140279001,-4.871544821069715,-0.4796700285774329,-3.4831167518427315,0.3690631790357295,-1.3289576662858544,-3.4639111921272794,-5.051153098952039,-0.33798315779268906,-2.8680294700204336,-2.8108030013701604,-1.0026989942589117,-2.6515607621374744,0.4423422084315205,-1.052639665043412,-6.975051775765371,-0.5539251785958705,-2.776922245714123,-3.6510597505740514,-5.883351756929745,1.0041171474375887,-2.692781636698086,3.0127147567302943,-6.42927705587763,-1.2403099421723804,-1.2939037225237997,-1.9656368881205881,-3.658237526153697,-4.4252299311282215,-6.202730924338569,0.5288718630794511,-0.3706462968005586,-1.9839475304095289,0.4200568240651097,-3.340808907220611,-6.559826164260279,-0.4401822570703149,-0.7872940549059426,0.4915065901878344,-1.5678176704166202,-0.5505547908495871
i,-3.4338192148046334,-1.077116793431773,-2.032527980933227,-4.487628508521333,-5.298383002472805,-3.0808616183767983,-5.904072339483975,-1.2408422260847596,-1.9818128883542103,-4.838622623076206,-3.5609873738087447,-5.876567310046757,-4.7803779204081405,-4.154471127478829,-3.0283218876066558,-2.5425061948309686,-7.077839331604037,-5.68627898649611,-6.93607293212193,-0.2571583164184492,-5.7357274888219125,-6.739971379301463,-6.4292770558776295,2.3650459121235814,-3.93119603733955,-7.573037516576712,-6.6803784165295435,-5.109895533048289,-6.835393804778669,-3.243998248190624,-6.836226550198698,-5.190824643443585,-5.8601883440882,-7.138382069171535,-7.576200062445328,-1.4265329241259224,-5.474166332153892,-6.878317140659491,-5.72770623719519,-1.4933459383961787,-3.474498500163457
j,-0.3157002777361244,-3.906340593850932,1.1091214535454759,-0.8420235067937272,-2.4317514591790186,1.7445387253517977,1.285106286045564,-3.57483960025582,1.1363060487142986,-0.36948017706499225,-1.7826427822252349,0.5617603872044672,1.9576417715225265,-0.6283163867990558,3.2630760188174657,-5.790563286570449,-2.8924784167755595,1.3698534273065182,1.6393622702004338,-4.674765716155762,-1.6731469429125525,0.034370206906251255,-1.24030994217238,-3.931196037339551,4.534327153578359,-4.283707378766498,0.6667823061524647,-4.4226425930377,-4.252198043055212,-4.977337765248206,-2.0009418594957262,-2.027810386467185,-1.7453323709733253,0.6024869447797911,-3.257152463432111,-5.040027553624323,-2.0279243530750932,-3.5066640185717626,-1.9652302837361688,0.9767610340232684,3.812909341395234
k,-2.7039787884352524,-6.315983927047759,-1.302687554563846,-3.6808270410158244,-0.8041940910245211,-3.3744100594379383,-1.4359817432909718,-5.986648608365142,1.5327376207872963,-3.2904718731928746,-1.837766133845638,-3.0672853419975405,-1.375622854532648,-0.38526956516625077,-3.3281008784184323,-8.107116196701261,-3.2287032331087833,-2.9028977468790496,-5.222500493082862,-6.905415282651306,0.059328799947860666,-0.042004822115953466,-1.2939037225237993,-7.573037516576713,-4.283707378766498,2.6033942794439677,-3.651329377582724,-5.4559589959772055,-5.456208820507737,-7.294998708733381,-5.347280975477574,0.5925281013784431,-3.717620299530772,-4.423538567955563,-1.8387075106100994,-7.2735883303273265,-4.39210531219516,-2.972090941042861,0.03781896257488793,-4.335131634457083,-4.5044659432155285
l,-2.3681304253958997,-5.980135564008406,-0.9668391915244934,-2.086938652380259,-2.3793136097298433,-0.3779981615623642,-2.12870865324603,-5.603172196336534,-0.8920265473664157,1.4206401107319842,-1.3532197175838991,-3.922239320094379,-3.4438141768640076,-2.21106388098218,-0.5943572425807089,-7.748278315437211,-3.819768589334873,-1.8437491651090632,1.1539130920266496,-6.1503084893714535,-4.622410650423922,-1.7496126227638165,-1.9656368881205877,-6.680378416529545,0.6667823061524647,-3.651329377582724,3.6123542810282814,-6.621600706149176,-1.5169332165533165,-6.936677489841968,-4.929754581423954,-2.0728453014209665,1.550133797037962,-2.487238232279825,-3.1250397336799027,-6.979412663688541,-3.5423111980535733,-3.127505654792251,-2.0748037198275213,-1.4104011477445662,-0.7225310145353694
m,-2.6476052503856877,-6.307238437987447,-1.2463140165142814,-4.386593555013157,-2.8028091005928717,-3.3854778021839067,-5.093760823485969,-5.906177518736516,-1.1955989239352647,-3.870087101863305,-1.2965798105740491,-4.962519974117928,-3.7232890018537956,-3.934652637980685,-3.2282422284291297,-8.050742658651696,-1.2448398438552228,-4.695270609431149,-5.721404341370121,-6.389509415223301,-2.946057889701051,-5.610812663755688,-3.6582375261536964,-5.109895533048288,-4.4226425930377,-5.4559589959772055,-6.621600706149177,3.188906062808026,-2.5926378581349923,-7.309242737897769,-1.4675993869142765,-1.390009921166266,-5.4394341531637185,-6.263220618736092,-5.17630189471083,-6.493914573547128,-3.93026666603743,-5.216634438886645,-4.826422942991457,-5.133000429147534,-4.048936466251064
n,-2.9761518665221893,-5.587183186030503,-0.3326056417538301,1.0836157262778827,-2.6721463326145183,-3.3008372641183343,-5.09953404735942,-5.894856309250667,-1.4310551170057537,-2.7985460347475812,0.962903434498283,-5.311269297571949,-4.322710572125697,-4.1942063826302345,-3.0631310244220065,-8.09743812264721,-5.330819567393933,-5.005468086899455,-3.7413235500566153,-6.34830900585372,-4.80197746521735,-5.049213828122356,-4.4252299311282215,-6.83539380477867,-4.252198043055213,-5.456208820507737,-1.516933216553317,-2.5926378581349927,2.5636610652996032,-6.4026015303604105,-6.291547824926623,-3.826436014303136,-3.7688883547845973,-5.999263580092338,-3.0094043557565464,-7.018741098728292,-4.852869560089648,-5.963224945338171,-4.256223136904715,-4.083415994803305,-4.151811084719997
o,-3.0081444081552373,-0.17214367498729732,-1.606853174283831,-5.176695372469931,-4.898460691925824,-3.5951940702188736,-5.478397532834579,-1.5075999131508606,-1.5561380817048143,-4.41294781642681,-4.918398955133974,-5.497412519032254,-4.447793536824757,-4.295191795750235,-3.7253569212044297,-0.770834456566444,-6.767233854739429,-5.331221747060665,-6.558026174461789,-1.6352903708645146,-5.3100526821725165,-6.36081658828696,-6.202730924338569,-3.243998248190624,-4.977337765248206,-7.294998708733381,-6.936677489841967,-7.309242737897769,-6.4026015303604105,2.152586862291302,-5.918075258451507,-4.78924738837325,-6.8839868001802245,-6.736237759932331,-7.2871007908016825,0.28006625743657754,-5.141581948570509,-5.3879315970176656,-5.1654558955400445,-6.043044065248186,-5.065351409783327
p,-1.819531823251173,-5.43153696186368,-0.4182405893797667,-3.9404547385766118,-3.3858760331647777,-2.5344148568246943,-4.052113296053395,-5.102201643181063,-0.36752549680075,-3.269797605599503,-5.060650926410473,-4.114643919687234,-3.122605416914942,-3.1065792108461703,-2.400168801294615,-7.222669231517182,0.29053783581524595,-4.049518739090589,-4.878293036871067,-6.178597261670811,1.3590971948930064,-4.849430611119844,0.5288718630794511,-6.836226550198697,-2.000941859495726,-5.347280975477574,-4.929754581423955,-1.467599386914276,-6.291547824926623,-5.918075258451507,3.3570629797354323,-2.470019783714901,-5.498663921030108,-5.39347449520101,-5.323423902869786,-6.061453958077767,-0.9166102365821822,-1.552410808022605,-2.5187232149448335,-2.8090129158759054,-3.1835916443193173
q,0.008965634144582069,-3.6506675534571773,1.273681333010238,-2.296160865175862,1.7373921576909206,-0.8890129500695814,-2.217090530022718,-3.386182169211997,4.477757643346829,-1.3687838853509398,-1.4397684132789257,-1.9850997775545318,-1.4966414623167354,3.6273843834649337,-0.8448224139103608,-5.379924419392594,-3.5929382289171965,-2.403059190777343,-3.365712043136879,-4.486675339280806,-2.4295181748784476,-0.30322080655769756,-0.37064629680055816,-5.190824643443586,-2.027810386467185,0.5925281013784431,-2.0728453014209665,-1.390009921166266,-3.8264360143031357,-4.78924738837325,-2.4700197837149016,5.057104197604933,-3.8067419986401028,-3.3448776288722737,-1.4776515488446655,-4.618747827311747,-2.26104744127644,-1.9157863283830743,1.162699292575346,-3.4548975214433106,-2.1141993352753055
r,-2.337418642452931,-5.616279334536898,-0.9120298570024636,-2.4701486875636784,-2.4432482163245433,-1.249242651544463,-4.15179598136956,-5.421637523658983,-0.5916511974743446,-1.774332994950416,-2.614680680588686,-4.2738969304649235,-3.083920590562505,-0.5924936714787932,-0.8848808337181526,-7.253260924363143,-5.9182598576308045,-1.6932133692724514,0.531581641689336,-6.672386529293508,-4.382607069622395,-0.9735070492256583,-1.983947530409528,-5.8601883440882006,-1.7453323709733248,-3.7176202995307714,1.550133797037962,-5.4394341531637185,-3.7688883547845964,-6.8839868001802245,-5.498663921030108,-3.8067419986401023,2.694713167869934,-3.6850844144720463,-2.3129693450414215,-5.257584937297205,-4.041293523180977,-4.47358374865761,-1.8709870351955211,-2.6255892438785575,0.26258146217537304
s,-2.051069775010057,-5.621755476595321,-0.6974065901279056,-4.109619844110422,-1.827191457484595,1.073590431699551,0.744495299465683,-5.124647797081388,-0.6466914975488889,-0.5066584644328662,-5.421494958172878,2.318288217979542,-0.2434138372908592,-2.6347784601455375,-0.2397668328438156,-7.549463281254575,-5.164640090023558,0.5719703306641648,-1.498884933000597,-6.128284061288709,-0.7376700383946773,-4.871551508878091,0.4200568240651097,-7.138382069171533,0.6024869447797911,-4.423538567955563,-2.487238232279825,-6.263220618736093,-5.999263580092337,-6.736237759932332,-5.393474495201011,-3.344877628872273,-3.6850844144720467,3.518336050402501,-1.2643449292194324,-6.846555597297704,-4.117066034629795,-5.221112250685056,-2.6089886878009754,-2.5387632955881854,1.5711018034345496
t,-2.532372880223589,-6.2609989393123,-1.131081646352183,-3.7284628411970737,-0.8409108700158501,0.2894343194090605,-0.02237355618222603,-5.860505074230236,-1.1493594252601178,-0.7824795431985536,-4.347369585607526,-4.116202584055491,-0.2290753335088982,-3.888980193474405,-2.738759769506791,-7.939653225539114,-5.878617111401994,-0.4376811356781807,0.23691364737910758,-6.8479532067034885,-1.8957072945268254,-5.74551318815257,-3.340808907220611,-7.576200062445329,-3.2571524634321114,-1.8387075106100998,-3.125039733679903,-5.17630189471083,-3.0094043557565464,-7.2871007908016825,-5.323423902869786,-1.477651548844666,-2.3129693450414224,-1.2643449292194329,3.54565207278987,-7.2582517468032055,-2.73590061292999,-6.244314616289236,-3.545326057152083,-5.553594984956844,-1.1189946449905155
