language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
khal1275,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,i,-,g,i,-,m,-,-,-,-
kulu1253,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,i,-,g,i,p,p,-,a,-,-
limb1266,k,-,u,-,-,h,-,-,-,-,-,-,-,-,-,-,-,i,-,k,-,-,l,-,a,-,-
yamp1242,p,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
sunw1242,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,i,-,g,-,-,-,-,-,-,-
lepc1244,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,o,-,N,-,-,-,-,-,-,-
dhim1246,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,i,7,k,-,-,-,-,a,-,-
chep1245,p,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
maga1261,p,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
kony1248,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,g,-,-,-,-,-,-,-
amdo1237,r,-,-,-,-,Z,-,-,-,-,y,-,-,-,-,-,-,a,-,N,-,k,h,-,3,-,-
amdo1237,-,-,-,-,-,Z,-,-,-,-,y,-,-,-,-,-,-,a,-,N,-,k,h,-,3,-,-
tibe1272,-,-,-,-,-,t,s,-,-,-,y,-,-,-,-,-,-,3,-,N,-,k,-,-,u,-,-
tibe1272,-,-,-,-,-,L,-,-,-,-,y,-,-,-,-,-,-,a,-,N,-,k,h,-,u,-,-
kham1282,-,-,-,-,-,Z,-,-,-,-,y,-,-,-,-,-,-,o,-,-,-,k,h,-,o,-,-
jire1238,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,m,-,u,-,-
