language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45
rotu1241,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
bola1250,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,g,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
bulu1253,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,u,-,-,-,g,u,n,u,-,g,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
unea1237,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-,x,-,-,o,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,a,-,-,-,-,-
naka1262,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
naka1262,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
wala1266,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,a,-,-,-,-,-
kwai1243,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
lauu1247,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,7,a,n,a,-,-,-,-,-
kwar1239,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
baeg1237,-,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
fata1245,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,a,n,a,-,-,-,-,-
toab1237,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
toab1237,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,u,-,-,-,a,-,-,-,-,-
bael1237,-,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
gula1270,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
long1395,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,a,-,-,-,-,-
long1395,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,i,-,-,-,a,-,-,-,-,-
oroh1237,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,e,-,s,i,-,-,-,a,-,-,-,-,-
area1240,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,i,-,-,-,a,-,-,-,-,-
saaa1240,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,e,-,s,-,-,-,-,e,-,-,-,-,-
kahu1241,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
aros1241,-,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,a,-,-,-,-,-
mala1484,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,a,-,-,-,-,-
bira1254,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,e,-,s,i,-,-,-,a,-,-,-,-,-
bira1254,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,a,-,-,-,-,-
kuan1248,-,-,i,v,-,-,a,-,-,t,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,a,-,-,-,-,-
mini1251,-,-,-,v,-,-,a,v,a,t,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
tiga1245,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tung1290,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tian1237,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sout2856,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,s,o,-,-,-,k,-,-,-,-,-
eton1255,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
nama1268,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,k,-,-,-,-,-
lewo1242,-,-,-,-,-,-,-,-,-,k,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,i,a,-,-,-,-,-,-,-,-,-
lame1260,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
bier1244,-,-,-,-,-,-,-,-,-,w,u,n,-,g,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,i,a,-,-,-,-,-,-,-,-,-
baki1244,-,-,-,-,-,-,-,-,-,b,a,-,-,k,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
maii1238,-,-,-,-,-,-,-,-,-,k,u,n,-,g,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
orko1234,-,-,-,r,-,-,o,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
port1286,-,-,-,n,-,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
lonw1238,-,-,-,n,-,-,-,-,-,g,-,-,-,-,-,-,u,-,-,-,-,-,-,m,-,n,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
nort2839,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-,-,-,-,-
sout2859,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
apma1240,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
apma1240,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
saaa1241,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mara1399,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
bign1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,a,-,-,n,-,d,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
nese1235,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,s,-,-,-,i,-,-,-,-,-,-,-,-,-
mpot1241,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
mpot1241,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,u,-,-,-,x,-,-,-,-,-
malu1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malu1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malu1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malu1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
maee1241,-,-,-,-,-,-,-,-,-,t,u,-,-,w,-,-,u,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
vaoo1237,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
nasa1240,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,r,i,-,-,n,-,d,a,-,-,u,-,-,-,-,-,-,-,-,-
nasa1240,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,r,i,-,-,n,-,d,a,-,-,u,-,-,-,-,-,-,-,-,-
dixo1238,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,r,-,-,-,n,-,d,a,-,-,u,-,-,-,-,-,-,-,-,-
dixo1238,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,r,-,-,-,n,-,d,a,-,-,u,-,-,-,-,-,-,-,-,-
lete1241,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
labo1244,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
litz1237,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,o,-,-,-,-,-,-,-,-,-
vinm1237,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,e,-,-,-,r,-,-,-,-,-
malf1237,-,-,i,-,-,-,-,-,-,w,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,w,-,-,-,o,-,-,-,r,-,-,-,-,-
navw1234,-,-,i,s,-,-,i,n,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,-,-,v,-,-,-,u,-,-,-,r,-,-,-,-,-
sout2857,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,r,-,-,-,-,-
nati1244,-,-,-,n,-,-,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,-,n,-,b,-,-,-,u,-,-,-,r,-,-,-,-,-
ling1265,-,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,h,-,-,-,-,-
niti1249,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,r,-,u,-,-,-
nisv1234,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nasv1234,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,-,-,o,-,-,-,-,-,-,-,-,-
nasv1234,n,g,a,-,-,-,-,-,-,t,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,-,-,u,-,-,-,-,-,-,-,-,-
axam1237,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,-,-,o,-,-,-,-,-,-,-,-,-
avok1244,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,t,S,i,-,-,-,-,-,-,-,-,-
port1285,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mask1242,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,-,-,o,-,-,-,-,-,-,-,-,-
aulu1238,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aulu1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bwen1239,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
