language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59
taku1257,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
sika1261,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
nuku1259,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
nuku1260,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,a,-,-,-,-,-,-,a,-,i,-,-,-,t,-,-,-,-,i,-,t,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
nort2844,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,a,-,-,-,-,-,-,-,-,i,-,-,-,s,-,-,-,-,i,-,s,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
tong1325,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
emae1237,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,t,-,-,-,-,i,-,-,g,-,-,-,-,-,-,-,-,i,-,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,e,-,h,-,-,-,-,-,-,y,-,-,-,d,-,-,-,-,-,-,Z,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,a,-,h,-,-,-,-,s,-,h,-,-,-,s,-,-,-,-,-,-,h,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
west2516,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,t,-,-,-,-,u,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
mele1250,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,y,-,-,-,-,-,-,y,-,-,-,d,-,-,-,-,-,-,Z,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
toke1240,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,a,-,-,-,-,-,-,-,-,i,-,-,-,t,-,-,-,-,i,-,t,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
pile1238,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
pile1238,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
raro1241,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,g,u,-,n,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,u,-,-,-,-,-
penr1237,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
tuam1242,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
mang1402,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,g,u,-,n,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,u,-,-,-,-,-
raka1237,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
maor1246,-,-,-,-,-,w,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,t,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
puka1242,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,t,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
nort2845,-,-,-,-,-,-,-,-,-,-,p,-,h,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,o,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
nort2845,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,t,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
ruru1237,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
tahi1242,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
hawa1245,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
nuku1258,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-
nuku1258,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
rotu1241,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
bauu1243,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,u,-,k,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
bauu1243,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,u,-,k,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
west2519,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,u,-,k,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
west2519,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,u,-,k,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
muss1248,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,a,-,p,-,-,-,-,a,-,-,l,-,-,-,a,-,-,N,-,a,-,-,-,-,-
bola1250,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
bola1250,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
naka1262,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,a,-,-,b,-,a,-,-,-,-,-
dori1246,-,-,-,-,-,-,-,-,-,-,g,-,o,-,-,-,u,-,g,o,-,-,-,u,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
wala1266,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,r,-,-,-,-,u,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
wala1266,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,r,-,-,-,-,u,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
kwai1243,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,o,-,-,-,-,u,-,-,-,-,-
lauu1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,o,-,u,f,-,i,-,-,-,a,-
lauu1247,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,a,-
kwar1239,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,i,-
baeg1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,w,-,-,-,-,-,-,a,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,w,-,a,N,-,-,-,-,-,-,-,-,-,-,-,-,e,-
fata1245,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,a,-
fata1245,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,a,-
toab1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,a,-
toab1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,a,-
toab1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
toab1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
bael1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,w,-,-,-,-,-,-,a,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,w,-,a,N,-,-,-,-,-,-,-,-,a,-,-,-,-,-
gula1270,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,o,-,-,-,-,u,-,-,-,-,-
long1395,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,a,-
oroh1237,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,o,-,-,-,-,u,-,-,-,-,-
area1240,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,o,-,-,-,-,u,-,-,-,-,-
area1240,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,o,-,-,-,-,u,-,-,-,-,-
saaa1240,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,o,-,-,-,-,u,-,-,-,-,-
rihu1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
rihu1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
haun1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,h,i,a,-
haun1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,h,i,a,-
kahu1241,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,h,i,a,-
kahu1241,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,h,i,a,-
sant1413,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,f,i,a,-
sant1413,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,f,i,a,-
aros1241,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,a,-
tolo1254,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,s,-,-,-,-,-,-,-,-,a,-,-,-,-,-
tolo1254,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,-,-,-,-,-,u,-,-,-,-,-
bira1254,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,s,-,-,-,-,-,-,-,-,a,-,-,-,-,-
tand1254,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,-,-,-,-,-,u,-,-,-,-,-
mala1484,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,s,-,-,-,-,-,-,-,-,a,-,-,-,-,-
leng1259,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
bugh1239,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,-,-,u,-,-,-,-,-
