language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54
yabe1254,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-,u,T,t,s,-,-,-,-,-,-,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
sika1261,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
sika1261,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
nuku1259,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
nuku1259,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
nuku1260,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,g,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
nuku1260,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,g,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,7,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,7,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
nort2844,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
nort2844,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
nort2844,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,o,-,m,-,o,-,-,-,-,k,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
tong1325,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,o,-,m,-,o,-,-,-,-,k,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
emae1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
emae1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,g,-,-,-,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,g,-,-,-,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,h,l,-,-,-,-,-,i,-,-,-,-,n,g,-,-,-,-,-,-,-,i,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,h,l,-,-,-,-,-,i,-,-,-,-,n,g,-,-,-,-,-,-,-,i,-,-,-,-
west2516,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
west2516,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
mele1250,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
mele1250,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
toke1240,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-
pile1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,k,-,-,-,-,-,-,-,i,-,-,-,-
pile1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,k,-,-,-,-,-,-,-,i,-,-,-,-
raro1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,n,u,t,o,k,-,e,-,t,-,-,-,-,-,o,-,-,-,-,-,k,-,-,-,-,-,-,-,e,-,-,-,-
raro1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,n,u,t,o,k,-,e,-,t,-,-,-,-,-,o,-,-,-,-,-,k,-,-,-,-,-,-,-,e,-,-,-,-
raro1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
penr1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
penr1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
penr1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
tuam1242,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,k,-,e,-,t,-,-,-,-,-,o,-,-,-,-,-,k,-,-,-,-,-,-,-,e,-,-,-,-
tuam1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
tuam1242,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
tuam1242,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
mang1402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
mang1402,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,k,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,k,-,e
raka1237,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,k,-,e,-,t,-,-,-,-,-,o,-,-,-,-,-,k,-,-,-,-,-,-,-,e,-,-,-,-
raka1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
raka1237,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
maor1246,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
maor1246,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,o,-,-,-,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,o,-,-,-,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,o,-,-,-,-,-,-,-,u,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
puka1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,o,-,-,-,-
puka1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
puka1242,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
puka1242,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,l,-,-,-,-,-,i,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
nort2845,-,k,a,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
nort2845,-,k,a,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
nort2845,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
nort2845,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,e,-,-,-,-,-,d,-,-,-,-,-,-,-,e,-,-,-,-
nort2845,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,e,-,-,-,-,-,d,-,-,-,-,-,-,-,e,-,-,-,-
nort2845,-,k,a,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,i,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
nort2845,-,k,a,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,i,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
nort2845,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,i,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
nort2845,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,i,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
ruru1237,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,7,-,e,-,t,-,-,-,-,-,o,-,-,-,-,-,7,-,-,-,-,-,-,-,e,-,-,-,-
tahi1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
tahi1242,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,7,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
tahi1242,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,7,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-
hawa1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,u,-,-,-,-
nuku1258,-,s,a,-,u,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
nuku1258,-,s,a,-,u,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,i,-,-,-,-
rotu1241,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,t,-,-,-,-,-,i,-,-,-,-,-,t,-,-,-,-,-,-,-,i,-,-,-,-
bauu1243,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,t,-,a,-,b,-,-,-,-,-,a,-,-,-,-,-,t,-,-,-,a,-,-,-,a,-,-,-,-
muss1248,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,N,-,-,-,-,-,-,-,e,-,-,-,-
muss1248,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,a,-,r,-,-,-,-,-,i,-,-,-,-,-,N,-,-,-,-,-,-,-,e,-,-,-,-
naka1262,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-
mera1242,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,7,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,g,-,-,-,-,-,-,-,i,-,-,-,-
wala1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,w,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
kwai1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,w,a,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
lauu1247,-,-,-,-,-,-,-,-,-,g,-,-,-,w,-,-,-,-,-,-,a,-,-,-,-,g,w,a,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,l,-,a
kwar1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,w,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
baeg1237,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,w,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
fata1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,w,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
toab1237,-,-,-,-,-,-,-,-,-,N,-,g,-,w,-,-,-,-,-,-,a,N,-,-,-,g,w,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
toab1237,-,-,-,-,-,-,-,-,-,N,-,g,-,w,-,-,-,-,-,-,a,N,-,-,-,g,w,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,l,-,a
bael1237,-,-,-,-,-,-,-,-,-,N,-,g,-,w,-,-,-,-,-,-,a,N,-,-,-,g,w,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
