id,doculect,concept,forms,lexstatid,db
255956,khas1269,FALL,h a p,131,nagarajakhasian
255957,lyng1241,FALL,e ŋ ai̯,133,nagarajakhasian
255958,warj1242,FALL,h ə r e m,135,nagarajakhasian
255959,shwe1236,FALL,r a r,134,nagarajakhasian
255960,khmu1256,FALL,g r ɔː j,132,nagarajakhasian
255961,khas1269,FAR,ɟ ŋ ai̯,136,nagarajakhasian
255962,lyng1241,FAR,ɟ ŋ i,136,nagarajakhasian
255963,warj1242,FAR,tʃ ŋ ʊ,136,nagarajakhasian
255964,shwe1236,FAR,s ə ŋ ai̯,137,nagarajakhasian
255965,khmu1256,FAR,ɟ aː r,136,nagarajakhasian
255966,khas1269,FAT (ORGANIC SUBSTANCE),s ŋ aːi̯ d,138,nagarajakhasian
255967,lyng1241,FAT (ORGANIC SUBSTANCE),ɨ mː i r,140,nagarajakhasian
255968,warj1242,FAT (ORGANIC SUBSTANCE),l ə ʔ ɒ t,142,nagarajakhasian
255969,shwe1236,FAT (ORGANIC SUBSTANCE),k ə m u,141,nagarajakhasian
255970,khmu1256,FAT (ORGANIC SUBSTANCE),m əː j,139,nagarajakhasian
255971,khas1269,FATHER,k p a,143,nagarajakhasian
255972,lyng1241,FATHER,p a,143,nagarajakhasian
255973,warj1242,FATHER,p a,143,nagarajakhasian
255974,shwe1236,FATHER,k u n,145,nagarajakhasian
255975,khmu1256,FATHER,j o ŋ,144,nagarajakhasian
255976,khas1269,FEAR (BE AFRAID),ʃ e p t i e ŋ,146,nagarajakhasian
255977,lyng1241,FEAR (BE AFRAID),t i e ŋ + d a i t,148,nagarajakhasian
255978,warj1242,FEAR (BE AFRAID),k t ɪ ə ŋ,150,nagarajakhasian
255979,shwe1236,FEAR (BE AFRAID),j ɔ,149,nagarajakhasian
255980,khmu1256,FEAR (BE AFRAID),h ŋ k ɨ ə r,147,nagarajakhasian
255981,khas1269,FEATHER,s e r,151,nagarajakhasian
255982,lyng1241,FEATHER,s i r,151,nagarajakhasian
255983,warj1242,FEATHER,θ ə b ə ɪ a r,153,nagarajakhasian
255984,khmu1256,FEATHER,kʰ uː l,152,nagarajakhasian
255985,khas1269,FEW,kʰ ɨ + d i a t,154,nagarajakhasian
255986,lyng1241,FEW,t a h + d i a t,156,nagarajakhasian
255987,shwe1236,FEW,b r e,157,nagarajakhasian
255988,khmu1256,FEW,l aː ŋ,155,nagarajakhasian
255989,khas1269,FIGHT,j a ʃ o ʔ,158,nagarajakhasian
255990,lyng1241,FIGHT,j a m u ʔ,160,nagarajakhasian
255991,shwe1236,FIGHT,t a i k,161,nagarajakhasian
255992,khmu1256,FIGHT,l eː w,159,nagarajakhasian
255993,khas1269,FIRE,d i ŋ,162,nagarajakhasian
255994,lyng1241,FIRE,ə d o ɲ,162,nagarajakhasian
255995,warj1242,FIRE,ʃ m e n,165,nagarajakhasian
255996,shwe1236,FIRE,ŋ ə r,164,nagarajakhasian
255997,khmu1256,FIRE,pʰ r ɨ ə,163,nagarajakhasian
255998,khas1269,FISH,d o ʔ kʰ a,166,nagarajakhasian
255999,lyng1241,FISH,kʰ a,167,nagarajakhasian
256000,warj1242,FISH,h i,168,nagarajakhasian
256001,shwe1236,FISH,k a,167,nagarajakhasian
256002,khmu1256,FISH,k a ʔ,167,nagarajakhasian
256003,khas1269,FIVE,s a n,169,nagarajakhasian
256004,lyng1241,FIVE,s a n,169,nagarajakhasian
256005,warj1242,FIVE,r a n,169,nagarajakhasian
256006,shwe1236,FIVE,pʰ ə n,170,nagarajakhasian
256007,khas1269,FLOAT,p e r,175,nagarajakhasian
256008,lyng1241,FLOAT,r a ŋ,177,nagarajakhasian
256009,warj1242,FLOAT,s p e r,175,nagarajakhasian
256010,shwe1236,FLOAT,p l ɯ r,175,nagarajakhasian
256011,khmu1256,FLOAT,h r l oː j,176,nagarajakhasian
256012,khas1269,FLOW,t uːi̯ d,178,nagarajakhasian
256013,lyng1241,FLOW,s ɨ + t oːi̯ d,178,nagarajakhasian
256014,warj1242,FLOW,p ɒ r,181,nagarajakhasian
256015,shwe1236,FLOW,h l ai̯,180,nagarajakhasian
256016,khmu1256,FLOW,k ɔː r,179,nagarajakhasian
256017,khas1269,FLOWER,s ɨ t i e w,182,nagarajakhasian
256018,lyng1241,FLOWER,s ɨ t e w,182,nagarajakhasian
256019,warj1242,FLOWER,kʰ l ʊ ə,185,nagarajakhasian
256020,shwe1236,FLOWER,p o h,184,nagarajakhasian
256021,khmu1256,FLOWER,r aː ŋ,183,nagarajakhasian
256022,khas1269,FLY (MOVE THROUGH AIR),h e r,186,nagarajakhasian
256023,lyng1241,FLY (MOVE THROUGH AIR),k ɨ d ei̯,188,nagarajakhasian
256024,warj1242,FLY (MOVE THROUGH AIR),p ɪ a r,186,nagarajakhasian
256025,shwe1236,FLY (MOVE THROUGH AIR),p ə r,186,nagarajakhasian
256026,khmu1256,FLY (MOVE THROUGH AIR),t ɨː r,187,nagarajakhasian
256027,khas1269,FOG,d u m + l ʔ o ʔ,189,nagarajakhasian
256028,lyng1241,FOG,n i o ŋ + i a,191,nagarajakhasian
256029,warj1242,FOG,d ʊ m,193,nagarajakhasian
256030,shwe1236,FOG,a j,192,nagarajakhasian
256031,khmu1256,FOG,ʔ o m + h m p uː t,190,nagarajakhasian
256032,khas1269,FOOT,k ɟ a t,194,nagarajakhasian
256033,lyng1241,FOOT,k ɟ a t,194,nagarajakhasian
256034,warj1242,FOOT,n ɪ a,197,nagarajakhasian
256035,shwe1236,FOOT,ɟ ɯ ŋ,196,nagarajakhasian
256036,khmu1256,FOOT,ɟ ɨ ə ŋ,195,nagarajakhasian
256037,khas1269,FOUR,s a w,202,nagarajakhasian
256038,lyng1241,FOUR,s a w,202,nagarajakhasian
256039,warj1242,FOUR,r ɪ a,205,nagarajakhasian
256040,shwe1236,FOUR,pʰ o n,204,nagarajakhasian
256041,khmu1256,FOUR,p uː l,203,nagarajakhasian
256042,khas1269,FREEZE,ʃ o ʔ + tʰ a ʔ,206,nagarajakhasian
256043,lyng1241,FREEZE,t ɨ ŋː a m,207,nagarajakhasian
256044,warj1242,FREEZE,tʰ a ʔ,209,nagarajakhasian
256045,shwe1236,FREEZE,k r ɔ ʔ,208,nagarajakhasian
256046,khas1269,FRUIT,s o ʔ,210,nagarajakhasian
256047,lyng1241,FRUIT,s u ʔ,210,nagarajakhasian
256048,warj1242,FRUIT,s ɒ ʔ,210,nagarajakhasian
256049,shwe1236,FRUIT,p l e,211,nagarajakhasian
256050,khmu1256,FRUIT,p l e ʔ,211,nagarajakhasian
256051,khas1269,GIVE,a j,212,nagarajakhasian
256052,lyng1241,GIVE,ɨ nː ai̯,214,nagarajakhasian
256053,warj1242,GIVE,ʔ aː,216,nagarajakhasian
256054,shwe1236,GIVE,d ɛ h,215,nagarajakhasian
256055,khmu1256,GIVE,ʔ a n,213,nagarajakhasian
256056,lyng1241,GOOD,m ɨ rʰː i a ŋ,218,nagarajakhasian
256057,warj1242,GOOD,m ɪ ə t,219,nagarajakhasian
256058,shwe1236,GOOD,l a ʔ,217,nagarajakhasian
256059,khmu1256,GOOD,l ə ʔ,217,nagarajakhasian
256060,khas1269,GRASS,pʰ l a ŋ,220,nagarajakhasian
256061,lyng1241,GRASS,pʰ l a ŋ,220,nagarajakhasian
256062,warj1242,GRASS,s m ʊ t,223,nagarajakhasian
256063,shwe1236,GRASS,k ə r b a n,222,nagarajakhasian
256064,khmu1256,GRASS,c i t,221,nagarajakhasian
256065,khas1269,GREEN,ɟ ɨ r ŋ a m,224,nagarajakhasian
256066,lyng1241,GREEN,s ɨ ŋ i ə ŋ,226,nagarajakhasian
256067,warj1242,GREEN,tʃ ə r ŋ a m,224,nagarajakhasian
256068,shwe1236,GREEN,ɲ ə r,227,nagarajakhasian
256069,khmu1256,GREEN,s iː w,225,nagarajakhasian
256070,khas1269,GUTS,s i e r,228,nagarajakhasian
256071,lyng1241,GUTS,s o r,228,nagarajakhasian
256072,warj1242,GUTS,n ɒ r,230,nagarajakhasian
256073,shwe1236,GUTS,r ɛ ŋ,229,nagarajakhasian
256074,khmu1256,GUTS,ʰr i ə ŋ,229,nagarajakhasian
256075,khas1269,HAIR,s ɲ i u ʔ,231,nagarajakhasian
256076,lyng1241,HAIR,s ɲ i ə k,231,nagarajakhasian
256077,warj1242,HAIR,s ʊ ʔ,231,nagarajakhasian
256078,shwe1236,HAIR,h u ʔ,231,nagarajakhasian
256079,khmu1256,HAIR,kʰ uː l,232,nagarajakhasian
256080,khas1269,HAND,k t i,233,nagarajakhasian
256081,lyng1241,HAND,k t ei̯,233,nagarajakhasian
256082,warj1242,HAND,t aː,233,nagarajakhasian
256083,shwe1236,HAND,t i,233,nagarajakhasian
256084,khmu1256,HAND,t i ʔ,233,nagarajakhasian
256085,khas1269,HE,u,234,nagarajakhasian
256086,lyng1241,HE,ɟ u t u ʔ,236,nagarajakhasian
256087,warj1242,HE,u,234,nagarajakhasian
256088,shwe1236,HE,ə n,237,nagarajakhasian
256089,khmu1256,HE,g əː,235,nagarajakhasian
256090,khas1269,HEAD,kʰ l i e ʔ,238,nagarajakhasian
256091,lyng1241,HEAD,kʰ l i ʔ,238,nagarajakhasian
256092,warj1242,HEAD,kʰ l ɪ a,238,nagarajakhasian
256093,shwe1236,HEAD,k i ŋ,240,nagarajakhasian
256094,khmu1256,HEAD,k m p o ŋ,239,nagarajakhasian
256095,khas1269,HEAR,s ŋ a p,241,nagarajakhasian
256096,lyng1241,HEAR,s ŋ u,241,nagarajakhasian
256097,warj1242,HEAR,s ã ʔ,241,nagarajakhasian
256098,shwe1236,HEAR,ɟ u,243,nagarajakhasian
256099,khmu1256,HEAR,m e c,242,nagarajakhasian
256100,khas1269,HEART,k l o ŋ + s a m,244,nagarajakhasian
256101,lyng1241,HEART,k l o ŋ + s a m,244,nagarajakhasian
256102,warj1242,HEART,k l ɒ ŋ + r ʊ ə,244,nagarajakhasian
256103,shwe1236,HEART,n u ə r,246,nagarajakhasian
256104,khmu1256,HEART,t l ɔː m + ŋ o k,245,nagarajakhasian
256105,khas1269,HEAVY,h e ʔ,247,nagarajakhasian
256106,lyng1241,HEAVY,k e b a ʔ,249,nagarajakhasian
256107,warj1242,HEAVY,s t ʊ ʔ,251,nagarajakhasian
256108,shwe1236,HEAVY,ɟ ə n,250,nagarajakhasian
256109,khmu1256,HEAVY,k t a m,248,nagarajakhasian
256110,khas1269,HERE,h a ŋ + e,252,nagarajakhasian
256111,lyng1241,HERE,h a i ʔ,254,nagarajakhasian
256112,warj1242,HERE,t i eː,255,nagarajakhasian
256113,khmu1256,HERE,d a ʔ + g iː,253,nagarajakhasian
256114,khas1269,HIT,t i e d,256,nagarajakhasian
256115,lyng1241,HIT,u d a ʔ,258,nagarajakhasian
256116,warj1242,HIT,d a t,256,nagarajakhasian
256117,shwe1236,HIT,t ɯ m,259,nagarajakhasian
256118,khmu1256,HIT,p u ʔ,257,nagarajakhasian
256119,khas1269,HOLD OR TAKE,ʃ i m,260,nagarajakhasian
256120,lyng1241,HOLD OR TAKE,tʰ o m,262,nagarajakhasian
256121,warj1242,HOLD OR TAKE,l ʊ m,264,nagarajakhasian
256122,shwe1236,HOLD OR TAKE,l ɛ,263,nagarajakhasian
256123,khmu1256,HOLD OR TAKE,d e ʔ,261,nagarajakhasian
256124,khas1269,HOW,k u m o,265,nagarajakhasian
256125,lyng1241,HOW,n a ŋ + e t,267,nagarajakhasian
256126,warj1242,HOW,k i j a ʔ,269,nagarajakhasian
256127,shwe1236,HOW,kʰ ɯ j + m ɔ,268,nagarajakhasian
256128,khmu1256,HOW,n ɛː w + m ə ʔ,266,nagarajakhasian
256129,khas1269,HUNT,b e ʔ,270,nagarajakhasian
256130,lyng1241,HUNT,w u ŋ + a,272,nagarajakhasian
256131,warj1242,HUNT,p ə t a r,274,nagarajakhasian
256132,shwe1236,HUNT,ɟ ɔ m,273,nagarajakhasian
256133,khmu1256,HUNT,j ɔ h + l a ʔ + b r i ʔ,271,nagarajakhasian
256134,khas1269,HUSBAND,t ŋ a,275,nagarajakhasian
256135,lyng1241,HUSBAND,k o r a ŋ,277,nagarajakhasian
256136,warj1242,HUSBAND,l ɒ k,279,nagarajakhasian
256137,shwe1236,HUSBAND,r ə l e h,278,nagarajakhasian
256138,khmu1256,HUSBAND,g l e ʔ,276,nagarajakhasian
256139,khas1269,I,ŋ a,280,nagarajakhasian
256140,lyng1241,I,n ə,280,nagarajakhasian
256141,warj1242,I,ŋ ə,280,nagarajakhasian
256142,shwe1236,I,ʔ ɔ,281,nagarajakhasian
256143,khmu1256,I,ʔ o ʔ,281,nagarajakhasian
256144,khas1269,ICE,tʰ a ʔ,282,nagarajakhasian
256145,lyng1241,ICE,tʰ a ʔ + ə lː i ʔ,284,nagarajakhasian
256146,warj1242,ICE,tʰ a ʔ,282,nagarajakhasian
256147,khmu1256,ICE,ʔ o m + k l oː n,283,nagarajakhasian
256148,khas1269,IF,l a d a,285,nagarajakhasian
256149,lyng1241,IF,l e d e,285,nagarajakhasian
256150,warj1242,IF,n i m ə,287,nagarajakhasian
256151,khmu1256,IF,ʔ a n,286,nagarajakhasian
256152,khas1269,IN,h a,288,nagarajakhasian
256153,lyng1241,IN,h e,288,nagarajakhasian
256154,warj1242,IN,t i,290,nagarajakhasian
256155,khmu1256,IN,k l u ə ŋ,289,nagarajakhasian
256156,khas1269,KILL,p ɨ j a p,291,nagarajakhasian
256157,lyng1241,KILL,p ɨ ɲ a p,291,nagarajakhasian
256158,warj1242,KILL,p ə j i p,291,nagarajakhasian
256159,shwe1236,KILL,p i ə m,291,nagarajakhasian
256160,khmu1256,KILL,pʰ aː n,292,nagarajakhasian
256161,khas1269,KNOW,t i p,293,nagarajakhasian
256162,lyng1241,KNOW,h e ʔ k ə n,295,nagarajakhasian
256163,warj1242,KNOW,t ɒ ʔ,297,nagarajakhasian
256164,shwe1236,KNOW,n ə p,296,nagarajakhasian
256165,khmu1256,KNOW,n əː ŋ,294,nagarajakhasian
256166,khas1269,LAKE,p u ŋ,298,nagarajakhasian
256167,lyng1241,LAKE,p u ŋ,298,nagarajakhasian
256168,warj1242,LAKE,s ʊ,299,nagarajakhasian
256169,khas1269,LAUGH,r kʰ i e,300,nagarajakhasian
256170,lyng1241,LAUGH,ɨ lː o m,302,nagarajakhasian
256171,warj1242,LAUGH,r ʊ,303,nagarajakhasian
256172,khmu1256,LAUGH,kʰ r a s,301,nagarajakhasian
256173,khas1269,LEAF,s l a,304,nagarajakhasian
256174,lyng1241,LEAF,s l a,304,nagarajakhasian
256175,warj1242,LEAF,s l i,304,nagarajakhasian
256176,shwe1236,LEAF,h l a,304,nagarajakhasian
256177,khmu1256,LEAF,ʰl a ʔ,304,nagarajakhasian
256178,khas1269,LEFT,d i a ŋ,305,nagarajakhasian
256179,lyng1241,LEFT,t ɨ mː i ə ŋ,305,nagarajakhasian
256180,warj1242,LEFT,d i + p a r + t a + d ɪ ə ŋ,308,nagarajakhasian
256181,shwe1236,LEFT,ʔ i + v e,307,nagarajakhasian
256182,khmu1256,LEFT,l u ə ŋ + w e ʔ,306,nagarajakhasian
256183,khas1269,LEG,k ɟ a t,309,nagarajakhasian
256184,lyng1241,LEG,k ɟ a t,309,nagarajakhasian
256185,warj1242,LEG,n ɪ a,312,nagarajakhasian
256186,shwe1236,LEG,ɟ ɯ ŋ,311,nagarajakhasian
256187,khmu1256,LEG,p l ɔː ŋ,310,nagarajakhasian
256188,khas1269,LIE (MISLEAD),tʰ o k,313,nagarajakhasian
256189,lyng1241,LIE (MISLEAD),tʰ ɨ lː oi̯ t,315,nagarajakhasian
256190,warj1242,LIE (MISLEAD),p ə r ɒ ʔ,317,nagarajakhasian
