language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
bend1258,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
nyih1240,-,-,-,i,-,-,-,l,-,-,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
mali1279,-,-,-,i,-,-,-,l,-,-,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
lamb1272,-,-,-,i,-,-,-,l,-,-,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
safw1238,-,-,-,i,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
ndal1241,-,-,-,i,-,-,-,l,-,-,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
nyak1260,-,-,-,i,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
suku1261,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
suku1261,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
nyam1276,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
sumb1240,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
nyat1246,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
nyat1246,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kimb1242,-,-,-,i,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
nila1242,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
toor1238,-,-,-,e,-,-,-,r,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
nyan1307,-,-,-,e,-,-,-,r,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
nyor1246,-,-,-,e,-,-,-,r,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
chig1238,-,-,-,e,-,-,-,r,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
nyam1277,-,-,-,e,-,-,-,l,-,-,-,-,i,-,n,o,a,m,e,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
zinz1238,-,-,-,e,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
haya1250,-,-,-,e,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kere1283,-,-,-,e,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
shub1238,-,-,-,i,-,-,-,g,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
