language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69
kele1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,-,v,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
ngom1270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
ngom1270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,S,-,-,-,-,-,-,i,-,-,-,-,-
ndam1254,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,e,-,-,e,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,u,-,-,-,-,-,-,u,-,-,-,-,-
ndam1254,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,e,-,-,-,-,-,-,N,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
sake1247,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,E,-,-,-,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,S,-,-,-,-,-,-,u,-,-,-,-,-
eviy1235,-,-,-,o,-,-,-,-,-,-,-,-,b,o,N,-,g,e,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
bubi1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
tsog1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
simb1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
pinj1243,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,b,i,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
kand1300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,S,-,-,u,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,e,-,-,-,b,-,-,-,-,-,i,-,-,-,-,-,i,-,-,-,n,-,-,-,-,d,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,l,-,-,u,-,-,m,b,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,t,-,-,-,o,-,-,-,w,-,-,a,-,-,-,-,-
tete1250,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,g,-,-,-,e,-,-,-,-,-,-,e,-,-,-,-,-
ombo1238,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,u,-,-,-,-,-,-,-,-,l,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-
deng1250,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,N,-,-,-,-,g,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-
bush1247,-,-,-,i,-,-,-,-,-,-,-,-,l,-,-,-,w,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,m,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wong1247,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,b,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
doee1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
kwer1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
kami1256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,g,-,-,-,i,y,a,m,v,-,-,u,-,l,-,-,a
zara1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
kutu1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
sham1280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
bond1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
zigu1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
ngul1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
gogo1263,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
kagu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
lugu1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
lang1320,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,t,-,-,-,-,S,-,-,-,u,-,-,-,-,-,-,u,-,-,-,-,-
tait1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
saga1256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
tave1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,Z,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-,-,b,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
giry1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
digo1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
poko1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
chim1312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,i,-,i,-,-,-,i,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
