language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57
dibo1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,o,-,-,-,-,h,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bomi1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,w,e,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yaka1272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,o,-,n,-,z,-,-,-,-,-,-,-,-,-,-,-
ngom1268,-,-,k,-,o,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-,d,-,Z,e,-,-,e,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,o,-,-,o,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ndol1238,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,o,-,-,o,-,y,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bolo1263,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,o,-,-,o,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
budz1238,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,u,-,-,u,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bwel1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,l,-,-,o,-,-,o,-,f,-,-,-,e,e,d,i,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sode1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,o,-,m,-,-,-,a,-,t,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kele1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,t,S,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mbol1247,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bata1285,-,-,-,-,i,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
beng1282,-,-,-,o,o,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yasa1242,e,e,k,u,u,-,-,-,-,-,k,-,-,-,u,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dual1243,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mali1280,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,k,-,-,-,-,-,-,-,o,-,-,o,y,-,-,-,-,-,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mokp1239,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ndas1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wumb1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
osam1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
maho1248,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,o,-,-,-,o,-,-,-,o,-,-,-,-,-,o,-,n,-,-,-,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kota1274,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,o,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,a,-,k,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mban1268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,u,-,-,-,l,-,-,u,-,-,u,-,b,i,i,k,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kele1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,k,y,-,E,-,-,-,l,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,a,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-
ngom1270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,k,i,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,n,e,-,-,-,-,-,-,-,-,-,-,-,-
ngom1270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,t,S,-,o,-,-,-,l,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ndam1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,t,-,-,-,-,-,o,-,n,-,o,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ndam1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sake1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
eviy1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,b,-,-,-,i,-,t,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bubi1250,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,k,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tsog1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,m,-,-,b,a,-,t,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
simb1254,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,o,-,-,-,-,-,-,-,n,-,-,-,-,-,o,-,m,-,-,-,a,-,x,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pinj1243,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,o,-,-,-,-,-,-,-,n,-,-,-,-,-,o,-,m,-,-,-,a,-,x,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kand1300,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,o,-,-,-,-,-,-,-,n,-,-,-,-,-,o,-,m,-,-,-,a,-,x,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,x,-,-,-,o,-,-,o,-,-,-,-,-,-,-,n,-,-,o,-,-,o,-,m,-,-,-,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,o,-,-,-,-,-,-,-,n,-,-,-,-,-,o,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,o,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,-,-,o,-,-,-,-,-,-,-,n,-,-,-,-,-,o,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,o,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tete1250,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,m,-,-,-,-,-,-,-,a,-,a,-,t,-,-,-,a,a,-,-,-,-,-,-
ombo1238,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
deng1250,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,m,-,-,-,-,-,-,-,a,-,a,-,t,-,-,-,-,-,-,-,-,-,-,-
bush1247,-,-,-,-,a,a,-,-,-,-,S,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wong1247,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,s,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
doee1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kwer1261,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kami1256,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,g,-,-,e,-,-,-,d,-,-,-,-,-,u,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
zara1247,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kutu1263,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sham1280,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bond1247,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
zigu1244,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngul1246,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gogo1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kagu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lugu1238,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lang1320,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tait1250,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
saga1256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,u,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tave1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
giry1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
digo1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,a,-,t,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
poko1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
chim1312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,a,-,f,u,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mwan1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ilwa1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-,o,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nden1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nden1248,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
matu1259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngin1244,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mate1258,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,b,-,-,-,-,-,i,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mpot1240,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mand1423,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yaoo1241,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mwer1248,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mako1251,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mako1251,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ndam1239,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mbun1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pogo1243,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pang1287,-,-,-,-,-,-,-,-,-,-,k,-,-,-,h,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nucl1379,-,-,-,-,u,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,u,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
